FID,FROM,TO,DISTANCE,ACCESS
0,0,23,14.16517289,YES
1,0,21,10.1619718,YES
2,0,15,60.12109487,YES
3,0,1,27.19481545,YES
4,1,14,57.50009857,YES
5,1,0,27.19481545,YES
6,1,2,33.17750306,YES
7,2,1,33.17750306,YES
8,2,19,26.99382594,YES
9,2,13,58.80392989,YES
10,2,3,46.74759574,YES
11,3,2,46.74759574,YES
12,3,12,58.48859196,YES
13,3,5,11.73305209,YES
14,4,5,38.07818566,YES
15,4,16,46.029474,YES
16,4,17,40.61397505,YES
17,4,6,36.40071666,YES
18,5,3,11.73305209,YES
19,5,4,38.07818566,YES
20,6,4,36.40071666,YES
21,6,7,25.33914391,YES
22,7,6,25.33914391,YES
23,7,8,12.31824672,YES
24,7,33,39.66752117,YES
25,8,17,35.89739802,YES
26,8,9,45.85574191,YES
27,8,7,12.31824672,YES
28,9,17,44.29227881,YES
29,9,10,62.60120626,NO
30,9,8,45.85574191,YES
31,9,32,24.16697062,YES
32,9,31,30.93867964,YES
33,10,11,38.30452213,YES
34,10,16,10.30953976,YES
35,10,9,62.60120626,NO
36,11,12,11.22453706,YES
37,11,10,38.30452213,YES
38,12,30,33.98676366,YES
39,12,13,47.85967755,YES
40,12,3,58.48859196,YES
41,12,11,11.22453706,YES
42,13,2,58.80392989,YES
43,13,14,29.87356031,YES
44,13,18,18.86112521,YES
45,13,12,47.85967755,YES
46,14,15,30.08979481,NO
47,14,1,57.50009857,YES
48,14,13,29.87356031,YES
49,15,0,60.12109487,YES
50,15,22,10.68037791,YES
51,15,14,30.08979481,NO
52,16,4,46.029474,YES
53,16,10,10.30953976,YES
54,16,17,34.64800605,YES
55,17,4,40.61397505,YES
56,17,9,44.29227881,YES
57,17,16,34.64800605,YES
58,17,8,35.89739802,YES
59,18,13,18.86112521,YES
60,18,28,16.3960137,YES
61,18,29,13.32684306,YES
62,19,2,26.99382594,YES
63,20,27,20.85509991,NO
64,20,20,11.72538431,YES
65,20,23,13.67390611,NO
66,21,0,10.1619718,YES
67,21,22,64.34571072,YES
68,21,26,12.6238732,YES
69,22,1,64.34571072,YES
70,22,15,10.68037791,YES
71,23,26,12.32428542,YES
72,23,0,14.16517289,YES
73,23,20,13.67390611,NO
74,24,20,11.72538431,YES
75,24,25,12.33426404,YES
76,25,20,12.33426404,YES
77,25,26,12.95831944,YES
78,26,25,12.95831944,YES
79,26,23,12.32428542,YES
80,26,1,12.6238732,YES
81,27,20,20.85509991,NO
82,28,18,16.3960137,YES
83,28,29,10.69317029,YES
84,29,18,13.32684306,YES
85,29,28,10.69317029,YES
86,29,30,44.43972873,YES
87,30,29,44.43972873,YES
88,30,12,33.98676366,YES
89,31,32,20.43246113,YES
90,31,9,30.93867964,YES
91,32,36,19.20572357,YES
92,32,9,24.16697062,YES
93,32,31,20.43246113,YES
94,33,7,39.66752117,YES
95,33,34,9.932373052,NO
96,34,33,9.932373052,NO
97,34,35,45.29805533,YES
98,35,34,45.29805533,YES
99,35,36,8.674049765,NO
100,36,35,8.674049765,NO
101,36,32,19.20572357,YES
