TARGET_FID,Matched,Length,Accessibility
0,23,14.16517289,TRUE
0,21,10.1619718,TRUE
0,15,60.12109487,TRUE
0,1,27.19481545,TRUE
1,14,57.50009857,TRUE
1,0,27.19481545,TRUE
1,2,33.17750306,TRUE
2,1,33.17750306,TRUE
2,19,26.99382594,TRUE
2,13,58.80392989,TRUE
2,3,46.74759574,TRUE
3,2,46.74759574,TRUE
3,12,58.48859196,TRUE
3,5,11.73305209,TRUE
4,5,38.07818566,TRUE
4,16,46.029474,TRUE
4,17,40.61397505,TRUE
4,6,36.40071666,TRUE
5,3,11.73305209,TRUE
5,4,38.07818566,TRUE
6,4,36.40071666,TRUE
6,7,25.33914391,TRUE
7,6,25.33914391,TRUE
7,8,12.31824672,TRUE
7,33,39.66752117,TRUE
8,17,35.89739802,TRUE
8,9,45.85574191,TRUE
8,7,12.31824672,TRUE
9,17,44.29227881,TRUE
9,10,62.60120626,FALSE
9,8,45.85574191,TRUE
9,32,24.16697062,TRUE
9,31,30.93867964,TRUE
10,11,38.30452213,TRUE
10,16,10.30953976,TRUE
10,9,62.60120626,FALSE
11,12,11.22453706,TRUE
11,10,38.30452213,TRUE
12,30,33.98676366,TRUE
12,13,47.85967755,TRUE
12,3,58.48859196,TRUE
12,11,11.22453706,TRUE
13,2,58.80392989,TRUE
13,14,29.87356031,TRUE
13,18,18.86112521,TRUE
13,12,47.85967755,TRUE
14,15,30.08979481,FALSE
14,1,57.50009857,TRUE
14,13,29.87356031,TRUE
15,0,60.12109487,TRUE
15,22,10.68037791,TRUE
15,14,30.08979481,FALSE
16,4,46.029474,TRUE
16,10,10.30953976,TRUE
16,17,34.64800605,TRUE
17,4,40.61397505,TRUE
17,9,44.29227881,TRUE
17,16,34.64800605,TRUE
17,8,35.89739802,TRUE
18,13,18.86112521,TRUE
18,28,16.3960137,TRUE
18,29,13.32684306,TRUE
19,2,26.99382594,TRUE
20,27,20.85509991,FALSE
20,24,11.72538431,TRUE
20,23,13.67390611,FALSE
21,0,10.1619718,TRUE
21,22,64.34571072,TRUE
21,26,12.6238732,TRUE
22,21,64.34571072,TRUE
22,15,10.68037791,TRUE
23,26,12.32428542,TRUE
23,0,14.16517289,TRUE
23,20,13.67390611,FALSE
24,20,11.72538431,TRUE
24,25,12.33426404,TRUE
25,24,12.33426404,TRUE
25,26,12.95831944,TRUE
26,25,12.95831944,TRUE
26,23,12.32428542,TRUE
26,21,12.6238732,TRUE
27,20,20.85509991,FALSE
28,18,16.3960137,TRUE
28,29,10.69317029,TRUE
29,18,13.32684306,TRUE
29,28,10.69317029,TRUE
29,30,44.43972873,TRUE
30,29,44.43972873,TRUE
30,12,33.98676366,TRUE
31,32,20.43246113,TRUE
31,9,30.93867964,TRUE
32,36,19.20572357,TRUE
32,9,24.16697062,TRUE
32,31,20.43246113,TRUE
33,7,39.66752117,TRUE
33,34,9.932373052,FALSE
34,33,9.932373052,FALSE
34,35,45.29805533,TRUE
35,34,45.29805533,TRUE
35,36,8.674049765,FALSE
36,35,8.674049765,FALSE
36,32,19.20572357,TRUE
